ticker,name,exchange,description
ECO,Okeanis Eco Tankers Corp.,NYSE,"Okeanis Eco Tankers Corp., a shipping company, owns and operates tanker vessels worldwide.It operates a fleet of 14 tanker vessels comprising six modern Suezmax tankers and eight modern VLCC tankers focusing on the transportation of crude oil.The company was incorporated in 2018 and is based in Neo Faliro, Greece."
ECVT,Ecovyst Inc.,NYSE,"Ecovyst Inc. offers specialty catalysts and services in the United States and internationally.The company operates in two segments, Ecoservices and Advanced Materials & Catalysts. The Ecoservices segment provides sulfuric acid recycling services and end-to-end logistics for production of alkylate for refineries; and virgin sulfuric acid for mining, water treatment, and industrial applications.The Advanced Materials & Catalysts segment offers advanced materials and specialty catalyst products and process solutions to producers and licensors of polyethylene and advanced silicas.This segment also supplies specialty zeolites and zeolite-based catalysts to customers for refining of oil primarily hydrocracking catalyst and dewaxing, sustainable fuels, and emission control systems for both on-road and non-road diesel engines.The company was formerly known as PQ Group Holdings Inc. and changed its name to Ecovyst Inc. in August 2021.Ecovyst Inc. was founded in 1831 and is headquartered in Malvern, Pennsylvania."
ECX,ECARX Holdings Inc.,NASDAQ,"ECARX Holdings Inc. develops a full stack automotive computing platform to shape the interaction between people and cars by rapidly advancing the technology by smart mobility worldwide.It offers system on chips, central computing platforms, operating systems, and software. Its core products include infotainment head units, digital cockpits, vehicle chip-set solutions, core operating system, and integrated software stack.The company has entered into a strategic partnership agreement with Black Sesame Technologies. The company is based in Shanghai, the Peopleâs Republic of China."
EDAP,EDAP TMS S.A.,NASDAQ,"EDAP TMS S.A., together with its subsidiaries, develops, produces, markets, distributes, and maintains a portfolio of minimally invasive medical devices for the treatment of urological diseases in Asia, France, the United States, and internationally.The company operates through High Intensity Focused Ultrasound (HIFU), Extracorporeal ShockWave Lithotripsy (ESWL), and Distribution Services (DIST) segments.The HIFU segment develops, manufactures, and markets medical devices based on HIFU technology for the minimally invasive treatment of urological and other clinical indications.This segment also offers Ablatherm, an ultrasound guided robotic HIFU device for the treatment of organ-confined prostate cancer; and the Focal One, a HIFU robotic device dedicated to the focal therapy of prostate cancer, as well as disposables, and leasing and treatment related services; and maintenance services.The ESWL division manufactures, markets, and services lithotripter for the treatment of urinary tract stones by means of ESWL technology; and offers Sonolith i-move, an extracorporeal shockwave lithotripter, as well as sells disposable parts for lithotripters and electrodes.The Distribution division markets, distributes, and services lasers, micro-ultrasound systems, and other medical products from third parties, as well as leases devices; sells disposables and spare parts; and offers maintenance services.It markets and sells its products through its direct marketing, sales organization, and service platform, as well as through third-party distributors and agents.The company serves hospitals, urology clinics, and research institutions. EDAP TMS S.A. was incorporated in 1979 and is based in Lyon, France."
EDBL,Edible Garden AG Incorporated,NASDAQ,"Edible Garden AG Incorporated, together with its subsidiaries, operate as a controlled environment agriculture farming company.It offers various packaged products, including cilantro, rosemary, mint, thyme, oregano, bay leaves, chives, poultry mix, sage, dill, buttercrunch living lettuce, basil, living butterhead lettuce, basil, parsley, arugula spring mix, baby arugula blend, baby romaine, and crisp ranch and Caesar salad kits.The company sells its products to various regional and national supermarkets. Edible Garden AG Incorporated was founded in 2020 and is based in Belvidere, New Jersey."
EDRY,EuroDry Ltd.,NASDAQ,"EuroDry Ltd., through its subsidiaries, provides ocean-going transportation services worldwide.The company owns and operates drybulk carriers that transport major bulks, such as iron ore, coal, and grains; and minor bulks, including bauxite, phosphate, and fertilizers.As of March 31, 2024, its fleet consisted of 13 drybulk carriers comprising five Panamax drybulk carriers, two Kamsarmax carriers, five Ultramax drybulk carriers, and one Supramax drybulk carrier with total cargo carrying capacity of 918,502 deadweight ton.The company was incorporated in 2018 and is based in Marousi, Greece."
EDTK,Skillful Craftsman Education Technology Limited,NASDAQ,"Skillful Craftsman Education Technology Limited provides vocational online education and technology services to college students and graduates in the People's Republic of China.The companyâs education services cover a range of subjects, including vocational, continuing, basic, and higher education.It operates three education platforms, including the Lifelong Education Public Service Platform that offers approximately 200 courses; Vocational Training platform, which provides 642 courses covering mechanics, electronics, auto repair, and construction subjects; and Virtual Simulation Experimental Training platform that offers 12 experimental programs.The company also offers technology services, including software development and maintenance, hardware installation, and testing and related consulting and training services; and cloud services for private companies, academic institutions, and government agencies.In addition, it provides financial education services through financial investment educational platform, which offers global securities market, basic securities knowledge, fundamental analysis, and technical analysis courses; and flexible employment service by providing recruitment outsourcing services for employerâs permanent staff hires.Skillful Craftsman Education Technology Limited was founded in 2013 and is headquartered in Wuxi, the Peopleâs Republic of China."
EDUC,Educational Development Corporation,NASDAQ,"Educational Development Corporation distributes children's books, educational toys and games, and related products in the United States.It operates through two segments, PaperPie and Publishing. The company sells various books, including touchy-feely board books, activity books and flashcards, adventure and search books, art books, sticker books, and foreign language books; learning manipulatives and toys; and internet-linked books comprising science and math titles, and chapter books and novels.It markets its products to retail accounts, which include book, school supply, toy and gift stores, and museums; and through commissioned sales representatives, trade and specialty wholesalers, its internal tele-sales group, and a network of independent sales representatives.Educational Development Corporation was incorporated in 1965 and is headquartered in Tulsa, Oklahoma."
EEIQ,EpicQuest Education Group International Limited,NASDAQ,"EpicQuest Education Group International Limited, through its subsidiaries, provides education solutions for students interested in college and university programs in the United States and internationally.The company offers English proficiency educational programming and transfer pathways for students pursuing academic degrees; and operates a career-training college.It also operates and manages the U.S. coordination projects and services during and after studying abroad, including student dormitory management, academic guidance, international student services, student catering services, student transfer application services, internship and employment guidance, lawyer services, medical services, and student entrepreneurship services.In addition, the company acts as a recruiting agent for the University of the West of Scotland and Coventry University; offers educational programs related to kinesiology and recreation education; and organizes sports-related entertainment projects.The company was formerly known as Elite Education Group International Limited and changed its name to EpicQuest Education Group International Limited in August 2022.The company was founded in 2012 and is headquartered in Middletown, Ohio."
EFC,Ellington Financial Inc.,NYSE,"Ellington Financial Inc., through its subsidiary, Ellington Financial Operating Partnership LLC, acquires and manages mortgage-related, consumer-related, corporate-related, and other financial assets in the United States.The company acquires and manages residential mortgage-backed securities (RMBS) backed by prime jumbo, Alt-A, manufactured housing, and subprime mortgage; RMBS for which the principal and interest payments are guaranteed by the U.S. government agency or the U.S. government-sponsored entity; residential mortgage loans; commercial mortgage-backed securities; and commercial mortgage loans and other commercial real estate debt.It also provides collateralized loan obligations; mortgage-related and non-mortgage-related derivatives; corporate debt and equity securities; corporate loans; and other strategic investments; and consumer loans and asset-backed securities backed by consumer and commercial assets.The company qualifies as a real estate investment trust (REIT) for federal income tax purposes. As a REIT, it intends to distribute at least 90% of its taxable income as dividends to shareholders.Ellington Financial LLC was incorporated in 2007 and is headquartered in Old Greenwich, Connecticut."
EFSH,1847 Holdings LLC,AMEX,"1847 Holdings LLC, through its subsidiaries, focuses on acquiring and managing a group of small businesses in the United States, Canada, Mexico, Europe, and the Netherlands.It operates through four segments: Retail and Appliances, Retail and Eyewear, Construction, and Automotive Supplies.The Retail and Appliances segment provides a range of appliances comprising laundry, refrigeration, cooking, dishwashers, outdoor, accessories, parts, and other appliance-related products.The Retail and Eyewear segment offers non-prescription reading glasses, sunglasses, blue light blocking eyewear, sun readers, outdoor specialty sunglasses, and other eyewear-related products, as well as personal protective equipment comprising surgical face masks, and health and personal care items.The Construction segment provides doors, door frames, base boards, crown molding, cabinetry, bathroom sinks and cabinets, bookcases, built-in closets, fireplace mantles, windows, and customized cabinetry and kitchen countertops.The Automotive Supplies segment designs and sells horn and safety products, including electric, air, truck, marine, motorcycle, and industrial equipment; and offer vehicle emergency and safety warning lights for cars, trucks, industrial equipment, and emergency vehicles.The company provides a wide variety of appliance services, including sales, delivery/installation, in-home service and repair, extended warranties, and financing in the North Bay area of Sonoma County, California.1847 Holdings LLC was founded in 1948 and is based in New York, New York."
EFX,Equifax Inc.,NYSE,"Equifax Inc. operates as a data, analytics, and technology company.The company operates through three segments: Workforce Solutions, U.S. Information Solutions (USIS), and International.The Workforce Solutions segment offers services that enables customers to verify income, employment, educational history, criminal justice data, healthcare professional licensure, and sanctions of people in the United States; and employer customers with services that assist them in complying with and automating payroll-related and human resource management processes throughout the entire cycle of the employment relationship.The USIS segment provides consumer and commercial information services, such as credit information and credit scoring, credit modeling and portfolio analytics, locate, fraud detection and prevention, identity verification, and other consulting services; mortgage services; financial marketing services; identity management services; and credit monitoring products.The International segment offers information service products, which include consumer and commercial services, such as credit and financial information, and credit scoring and modeling; and credit and other marketing products and services, as well as offers information, technology, and other services to support debt collections and recovery management.The company serves customers in financial services, mortgage, retail, telecommunications, utilities, automotive, brokerage, healthcare, and insurance industries, as well as government agencies.It operates in Argentina, Australia, Brazil, Canada, Chile, Costa Rica, Dominican Republic, Ecuador, El Salvador, Honduras, India, Ireland, Mexico, New Zealand, Paraguay, Peru, Portugal, Spain, the United Kingdom, Uruguay, and the United States.The company was founded in 1899 and is headquartered in Atlanta, Georgia."
EFXT,Enerflex Ltd,NYSE,"Enerflex Ltd. offers energy infrastructure and energy transition solutions to natural gas markets in North America, Latin America, and the Eastern Hemisphere.The company provides natural gas compression infrastructure, processing, and treated water infrastructure under contract to oil and natural gas customers; power generation rental solutions; custom and standard compression packages for reciprocating and screw compressor applications; re-engineering, re-configuration, and re-packaging of compressors for various field applications; integrated turnkey power generation, gas compression, processing facilities, natural gas compression, processing, and electric power solutions; after-market mechanical services and parts distribution, as well as maintenance solutions to the oil and natural gas industry, operations, and overhaul services; and equipment supply, parts supply, and general asset management.It also designs, engineers, manufactures, constructs, and installs modular natural gas processing equipment, low-carbon solutions, cryogenic systems, electric power solutions, and treated water solutions; and engages in the engineering, design, procurement, project management, and construction services for compression, process, treated water, and power generation equipment, as well as after-market service, parts, and operations and maintenance services for gas compression, processing, and treated water facilities in the region.The company was formerly known as Enerflex Systems Income Fund and changed its name to Enerflex Ltd. in January 2010.Enerflex Ltd. was founded in 1980 and is headquartered in Calgary, Canada."
EGAN,eGain Corporation,NASDAQ,"eGain Corporation develops, licenses, implements, and supports customer service infrastructure software solutions in North America, Europe, the Middle East, Africa, and the Asia Pacific.It provides eGain Knowledge Hub, which helps businesses to centralize knowledge, policies, procedures, situational expertise, best-practices, while delivering guided, and personalized solutions to customers and agents; eGain AssistGPT, an integral part of the eGain Knowledge Hub and a no-code solution that helps automate knowledge creation, omnichannel delivery, and optimization; eGain Conversation Hub for digital-first, omnichannel interaction management within a modern, purpose-built desktop; and eGain Analytics Hub enables clients to measure, manage, and optimize omnichannel service operations and knowledge.The company also offers subscription services that provides customers with access to its software on a cloud-based platform; and professional services, such as consulting and implementation, training, and managed services.It serves customers in various industry sectors, including banking, financial services, government, health care provider, health insurance, manufacturing, P and C insurance, outsourcers, retail, tech industry, telecom, travel and hospitality, and utilities.The company was incorporated in 1997 and is headquartered in Sunnyvale, California."
EGO,Eldorado Gold Corporation,NYSE,"Eldorado Gold Corporation, together with its subsidiaries, engages in the mining, exploration, development, and sale of mineral products primarily in Turkey, Canada, Greece, and Romania.The company primarily produces gold, as well as silver, lead, and zinc. It holds a 100% interest in the Kisladag and EfemÃ§ukuru mines located in Turkey; Lamaque complex located in Canada; and Olympias, Stratoni, Skouries, Perama Hill, and Sapes gold mines located in Greece, as well as the 80.5% interest in Certej development projects located in Romania.The company was formerly known as Eldorado Corporation Ltd. and changed its name to Eldorado Gold Corporation in April 1996.Eldorado Gold Corporation was incorporated in 1996 and is headquartered in Vancouver, Canada."
EH,EHang Holdings Limited,NASDAQ,"EHang Holdings Limited operates as an autonomous aerial vehicle (AAV) technology platform company in the Peopleâs Republic of China, East Asia, West Asia, Europe, and internationally.It designs, develops, manufactures, sells, and operates AAVs, as well as supporting systems and infrastructure for various industries and applications, including passenger transportation, logistics, smart city management, and aerial media solutions.It has a strategic partnership with Greater Bay Technology to research and develop ultra-fast charging/extreme fast charging battery solutions for its electric vertical takeoff and landing aircraft.EHang Holdings Limited was incorporated in 2014 and is headquartered in Guangzhou, the Peopleâs Republic of China."
EHC,Encompass Health Corporation,NYSE,"Encompass Health Corporation provides post-acute healthcare services in the United States and Puerto Rico.It owns and operates inpatient rehabilitation hospitals that provide medical, nursing, therapy, and ancillary services.The company provides specialized rehabilitative treatment on an inpatient basis to patients who have experienced physical or cognitive disabilities or injuries due to medical conditions, such as strokes, hip fractures, and various debilitating neurological conditions.It offers services through the Medicare program to federal government, managed care plans and private insurers, state governments, and other patients.The company was formerly known as HealthSouth Corporation and changed its name to Encompass Health Corporation in January 2018.The company was incorporated in 1984 and is based in Birmingham, Alabama."
EHGO,Eshallgo Inc.,NASDAQ,"Eshallgo Inc., through its subsidiaries, engages in the sale and leasing of office equipment and after-sale maintenance and repair services in the Peopleâs Republic of China.The company also sells office furniture, IT products, water dispensers, printing papers, and other products, as well as provides maintenance services with enterprise resource planning systems.It serves private and public sector businesses, as well as large enterprises and institutions. The company was founded in 2015 and is based in Shanghai, China."
EIX,Edison International,NYSE,"Edison International, through its subsidiaries, engages in the generation and distribution of electric power.The company supplies and delivers electricity to approximately 50,000 square mile area of southern California to residential, commercial, industrial, public authorities, agricultural, and other sectors.Its transmission facilities consist of lines ranging from 55 kV to 500 kV and approximately 80 transmission substations; distribution system consists of approximately 38,000 circuit-miles of overhead lines; approximately 31,000 circuit-miles of underground lines; and 730 distribution substations.The company was founded in 1886 and is based in Rosemead, California."
EJH,E-Home Household Service Holdings Limited,NASDAQ,"E-Home Household Service Holdings Limited, together with its subsidiaries, engages in the operation of household services in the Peopleâs Republic of China.The company operates through five segments: Installation and Maintenance, Housekeeping Services, Senior Care Services, Sales of Pharmaceutical Products, and Educational Consulting Services.It offers technical home installation and repair, and maintenance and other after sale services; housecleaning, nanny service, maternity matron, and personnel staffing; and heart rate test, daily step count, location and track record, call for help by WeChat or phone, and other care services for senior customers.The company provides its services through an online platform, as well as offline channels. Its customers primarily include individuals and families.E-Home Household Service Holdings Limited was founded in 2014 and is headquartered in Fuzhou, the Peopleâs Republic of China."
ELA,Envela Corporation,AMEX,"Envela Corporation, together with its subsidiaries, operates in the re-commerce sector in the United States.The company operates through two segments, Commercial-Services and Direct-To-Consumer. It provides end-of-life asset recycling; data destruction and IT asset management; and products, services, and solutions to industrial and commercial companies, as well as operates as a re-commerce retailers of luxury hard assets.The company buys to resell or recycle luxury hard assets, including jewelry, diamonds, gemstones, fine watches, rare coins and related collectibles, precious-metal bullion products, gold, silver and other precious metals; buys and sells various forms of gold, silver, platinum, and palladium products, including United States and other government coins, and private mint medallions, as well as numismatic items, such as rare coins, currency, medals, tokens, and other collectibles; and provides jewelry and watches repair services, as well as custom jewelry services.In addition, it offers end-of-life electronics recycling services; disposal transportation and product tracking services; IT equipment disposition services, including compliance and data sanitization services; services to companies in the areas of upgrade capabilities and dispose of equipment; and asset- disposition solutions to government agencies, middle-market firms, major corporations, and other organizations.The company operates multiple brick-and-mortar and online marketplaces; and offers custom re-commerce solutions to meet the needs of various clients.It operates through DGSE.com, echoenvironmental.com, ITADUSA.com, teladvance.com and AvailRecovery.com.websites. The company was formerly known as DGSE Companies, Inc. and changed its name to Envela Corporation in December 2019.Envela Corporation was incorporated in 1965 and is headquartered in Irving, Texas."
ELAB,Elevai Labs Inc.,NASDAQ,"Elevai Labs Inc., a skincare development company, designs, manufactures, and markets skincare products in the United States.The company offers Empower and Enfinity post-skincare procedure care serums for the face, neck, and upper chest regions.It serves dermatologists, plastic surgeons, medical spa owners, and physicians focused on aesthetic and therapeutic skincare.The company was formerly known as Reactive Medical Labs Inc. and changed its name to Elevai Labs, Inc. in December 2021.Elevai Labs Inc. was incorporated in 2020 and is based in Newport Beach, California."
ELAN,Elanco Animal Health Incorporated,NYSE,"Elanco Animal Health Incorporated, an animal health company, innovates, develops, manufactures, and markets products for pets and farm animals.It offers pet health disease prevention products, such as parasiticide and vaccine products that protect pets from worms, fleas, and ticks under the Seresto, Advantage, Advantix, and Advocate brands; pet health therapeutics for pain, osteoarthritis, ear infections, cardiovascular, and dermatology indications in canines and felines under the Galliprant and Claro brands; vaccines, antibiotics, parasiticides, and other products for use in poultry and aquaculture production, as well as nutritional health products, including enzymes, probiotics, and prebiotics; and a range of vaccines, antibiotics, implants, parasiticides, and other products used in ruminant and swine production under the Rumensin and Baytril brands.The company sells its products to third-party distributors; veterinarians; and farm animal producers, including beef and dairy farmers, as well as pork, poultry, and aquaculture operations.Elanco Animal Health Incorporated was founded in 1954 and is headquartered in Greenfield, Indiana."
ELBM,Electra Battery Materials Corporation,NASDAQ,"Electra Battery Materials Corporation engages in the acquisition and exploration of resource properties in the United States and Canada.It primarily explores for cobalt, copper, and silver deposits. The companyâs flagship project comprises the Iron Creek cobalt-copper project that includes patented and unpatented claims totaling an area of approximately 3,260 hectares and 600 meters of underground drifting from three adits located in Lemhi County, Idaho.It also operates a hydrometallurgical cobalt refinery for producing battery materials for the electric vehicle supply chain.The company was formerly known as First Cobalt Corp. and changed its name to Electra Battery Materials Corporation in December 2021.Electra Battery Materials Corporation was incorporated in 2011 and is headquartered in Toronto, Canada."
ELLO,Ellomay Capital Ltd,AMEX,"Ellomay Capital Ltd., together with its subsidiaries, engages in the initiation, development, construction, and production of renewable and clean energy projects in Spain, the United States, Italy, the Netherlands, and Israel.The company owns photovoltaic (PV) plants comprising five PV plants in Spain with an aggregate installed capacity of approximately 35.9 megawatts (MW); and one PV plant with an installed capacity of 300 MW in the municipality of TalavÃ¡n, Spain.It also operates a dual-fuel operated power plant with an installed capacity of approximately 850 MWp in the vicinity of Ashkelon, Israel; and constructs a 156 MW pumped storage hydro power plant in the Manara Cliff, Israel.In addition, the company operates anaerobic digestion plants with a green gas production capacity of approximately 3 million, 3.8 million, and 9.5 million Nm3 per year in the Netherlands.Further, it constructs and develops PV plants with installed capacity of 14.8 MW and 4.95 MW in Lazio, Italy; and PV projects with an installed capacity of 15.06 MW, 87.2 MW, 54.77 MW, 8 MW, and 18 MW in Italy, as well as with installed capacity of 13.44 MW, 6.96 MW, 6.96 MW, 5.2 MW, 5.2 MW, and 9.7 MW in the Dallas metropolitan area, Texas.The company was formerly known as NUR Macroprinters Ltd. and changed its name to Ellomay Capital Ltd. in April 2008.Ellomay Capital Ltd. was incorporated in 1987 and is headquartered in Tel Aviv, Israel."
ELME,Elme Communities,NYSE,"Elme Communities is committed to elevating what home can be for middle-income renters by providing a higher level of quality, service, and experience.The Company is a multifamily real estate investment trust that owns and operates approximately 9,400 apartment homes in the Washington, DC metro and the Atlanta metro regions, and owns approximately 300,000 square feet of commercial space.Focused on providing quality, affordable homes to a deep, solid, and underserved base of mid-market demand, Elme Communities is building long-term value for shareholders."
ELTK,Eltek Ltd.,NASDAQ,"Eltek Ltd. manufactures, markets, and sells printed circuit boards (PCBs) in Israel, Europe, North America, India, the Netherlands, and internationally.It offers a range of custom designed PCBs, including rigid, double-sided and multi-layer PCBs, and flexible circuitry boards.The company also provides high density interconnect, flex-rigid, and multi-layered boards. It primarily serves medical technology, defense and aerospace, industrial, telecom, and networking equipment industries, as well as contract electronic manufacturers.The company markets and sells its products primarily through direct sales personnel, sales representatives, and PCB trading and manufacturing companies.Eltek Ltd. was incorporated in 1970 and is headquartered in Petah Tikva, Israel. Eltek Ltd. operates as a subsidiary of Nistec Golan Ltd."
ELUT,Elutia Inc.,NASDAQ,"Elutia Inc., a commercial-stage company, develops and commercializes drug-eluting biologics products for neurostimulation, wound care, and breast reconstruction in the United States.The company operates in three segments: Device Protection; Womenâs Health; and Cardiovascular. It offers CanGaroo Envelope, which is used to accommodate cardiac implantable electronic devices, such as pacemakers and internal defibrillators.The company also develops CanGarooRM, a combination of the CanGaroo envelope with antibiotics, to reduce the risk of infection after surgical implantation of an electronic device.In addition, it provides ProxiCor for cardiac tissue repair and pericardial closure; Tyke, an extracellular material that is used in the repair of cardiac structures for neonate and infant patients; and VasCure, a patch material to repair or reconstruct the peripheral vasculature.Further, the company offers SimpliDerm, which uses human acellular dermal matrices for tissue repair and reconstruction in various applications, such as sports medicine, hernia repair, trauma reconstruction, and breast reconstruction surgeries following mastectomy.It serves hospitals and healthcare facilities through its direct sales force, independent sales agents, and distributors.The company was formerly known as Aziyo Biologics, Inc. and changed its name to Elutia Inc. in September 2023.Elutia Inc. was incorporated in 2015 and is headquartered in Silver Spring, Maryland."
ELVA,Electrovaya Inc.,NASDAQ,"Electrovaya Inc. engages in the design, development, manufacture, and sale of lithium-ion batteries, battery management systems, and battery-related products for energy storage, clean electric transportation, and other specialized applications in North America.It offers lithium-ion batteries and systems for materials handling electric vehicles, including forklifts and automated guided vehicles, as well as battery chargers to charge the batteries; electromotive power products for electric trucks, electric buses, and other transportation applications; industrial products for energy storage; and power solutions, such as competencies in building systems for third parties.The company was formerly known as Electrofuel Inc. and changed its name to Electrovaya Inc. in March 2002.Electrovaya Inc. was incorporated in 1996 and is headquartered in Mississauga, Canada."
EM,Smart Share Global Limited,NASDAQ,"Smart Share Global Limited, a consumer tech company, provides mobile device charging services in the People's Republic of China.The company provides mobile device charging services through online and offline networks; and rents power banks.It offers services through its power banks placed in points of interests (POIs) operated by its location partners, such as entertainment venues, restaurants, shopping centers, hotels, transportation hubs, and public spaces.The company also offers advertising services, as well as sells merchandises through online platform or distributors.Smart Share Global Limited was incorporated in 2017 and is headquartered in Shanghai, the People's Republic of China."
EMBC,Embecta Corp.,NASDAQ,"Embecta Corp., a medical device company, focuses on the provision of various solutions to enhance the health and wellbeing of people living with diabetes.Its products include pen needles, syringes, and safety injection devices, as well as digital applications to assist people with managing patientâs diabetes.The company primarily sells its products to wholesalers and distributors in the United States and internationally.Embecta Corp. was founded in 1924 and is headquartered in Parsippany, New Jersey."
EMCG,Embrace Change Acquisition Corp,NASDAQ,"Embrace Change Acquisition Corp. focuses on entering into a merger, share exchange, asset acquisition, share purchase, recapitalization, reorganization, or similar business combination with one or more businesses or entities.It intends to pursue prospective targets that are in the technology, internet, and consumer sectors. Embrace Change Acquisition Corp. was incorporated in 2021 and is based in San Diego, California."
EMKR,EMCORE Corporation,NASDAQ,"EMCORE Corporation, together with its subsidiaries, designs and manufactures fiber optic gyro, ring laser gyro, and micro electromechanical system-based inertial sensors and systems in the United States and internationally.It offers navigation system and inertial sensing products, such as gyroscopes and multi-axis sensors, inertial measurement units, fiber optic gyroscopes, quartz micro electromechanical systems, inertial navigation systems, tactical navigation, and naval and amphibious navigation, as well as radar positioning and pointing systems, and battlefield/artillery survey systems.The company sells its products through direct sales force, application engineers, third-party sales representatives, and distributors.EMCORE Corporation was founded in 1984 and is headquartered in Alhambra, California."
EMN,Eastman Chemical Company,NYSE,"Eastman Chemical Company operates as a specialty materials company in the United States, China, and internationally.The companyâs Additives & Functional Products segment offers amine derivative-based building blocks, intermediates for surfactants, metam-based soil fumigants, and organic acid-based solutions; specialty coalescent and solvents, paint additives, and specialty polymers; and heat transfer and aviation fluids.It serves transportation, personal care, wellness, food, feed, agriculture, building and construction, water treatment, energy, consumables, durables, and electronics markets.Its Advanced Materials segment provides copolyesters, cellulosic biopolymers, cellulose esters, polyvinyl butyral sheets, and window and protective films for value-added end uses in the transportation, durables, electronics, building and construction, medical and pharma, and consumables markets.The companyâs Chemical Intermediates segment offers olefin and acetyl derivatives, ethylene, and commodity solvents; and primary non-phthalate and phthalate plasticizers, and niche non-phthalate plasticizers for industrial chemicals and processing, building and construction, health and wellness, and food and feed.Its Fibers segment provides cellulose acetate tow, triacetin, cellulose acetate flake, acetic acid, and acetic anhydride for use in filtration media primarily cigarette filters; natural and solution dyed acetate yarns, and staple fiber for use in consumables, and health and wellness markets; and wet-laid nonwoven media, specialty and engineered papers, and cellulose acetate fibers for transportation, industrial, agriculture and mining, and aerospace markets.The company was founded in 1920 and is headquartered in Kingsport, Tennessee."
EMX,EMX Royalty Corporation,AMEX,"EMX Royalty Corporation, together with its subsidiaries, explores for and generates royalties from metals and minerals properties.It explores gold, silver, platinum, palladium, copper, lead, zinc, manganese, nickel, cobalt, molybdenum, and iron deposits, as well as battery, precious, and base metals.The companyâs royalty and exploration portfolio primarily consist of properties in North America, TÃ¼rkiye, Europe, Australia, Latin America, Morocco, and Australia.The company was formerly known as Eurasian Minerals Inc. and changed its name to EMX Royalty Corporation in July 2017.EMX Royalty Corporation is headquartered in Vancouver, Canada."
ENB,Enbridge Inc,NYSE,"Enbridge Inc., together with its subsidiaries, operates as an energy infrastructure company.The company operates through five segments: Liquids Pipelines, Gas Transmission and Midstream, Gas Distribution and Storage, Renewable Power Generation, and Energy Services.The Liquids Pipelines segment operates pipelines and related terminals to transport various grades of crude oil and other liquid hydrocarbons in Canada and the United States.The Gas Transmission and Midstream segment invests in natural gas pipelines and gathering and processing facilities in Canada and the United States.The Gas Distribution and Storage segment is involved in natural gas utility operations serving residential, commercial, and industrial customers in Ontario, as well as natural gas distribution activities in Quebec.The Renewable Power Generation segment operates power generating assets, such as wind, solar, geothermal, waste heat recovery, and transmission assets in North America.The Energy Services segment provides physical commodity marketing and logistical services to refiners, producers, and other customers in Canada and the United States.The company was formerly known as IPL Energy Inc. and changed its name to Enbridge Inc. in October 1998.Enbridge Inc. was founded in 1949 and is headquartered in Calgary, Canada."
ENG,ENGlobal Corporation,NASDAQ,"ENGlobal Corporation provides engineering and professional project execution services primarily to the energy sector in the United States and internationally.It operates in two segments, Commercial and Government Services. The Commercial segment provides multi-disciplined engineering services and fabrication relating to the development, management, and execution of projects requiring professional engineering and related project management services.It offers conceptual studies, project definition, cost estimating, engineering design, environmental compliance, material procurement, project management, construction management, and fabrication services.The Government Services segment provides design, integration and implementation of process distributed control and analyzer systems, advanced automated data gathering systems, information technology, and the maintenance of these systems; and electrical and instrument installation, technical services, ongoing maintenance, calibration, and repair services.It also provides services related to the engineering, design, installation, and maintenance of automated fuel handling and tank gauging systems for the United States military.The company serves Fortune 500 companies in the energy industry and the United States government. The company was formerly known as Industrial Data Systems Corporation and changed its name to ENGlobal Corporation in June 2002.ENGlobal Corporation was founded in 1985 and is headquartered in Houston, Texas."
ENGN,enGene Holdings Inc.,NASDAQ,"enGene Holdings Inc., through its subsidiary enGene, Inc., operates as a clinical-stage biotechnology company that develops genetic medicines through the delivery of therapeutics to mucosal tissues and other organs.Its lead product candidate is EG-70 (detalimogene voraplasmid), which is a non-viral immunotherapy to treat non-muscle invasive bladder cancer patients with carcinoma-in-situ (Cis), who are unresponsive to treatment with Bacillus Calmette-GuÃ©rin.The company was founded in 2023 and is based in Saint-Laurent, Canada."
ENIC,Enel Chile S.A.,NYSE,"Enel Chile S.A., an electricity utility company, engages in the generation, transmission, and distribution of electricity in Chile.It operates through Generation, and Distribution and Networks Segments. The company generates electricity through various sources, such as hydroelectric, solar, wind, thermal, and geothermal power plants; and distributes electricity in various municipalities of the Santiago metropolitan region.It serves residential, commercial, industrial, and other customers. The company was formerly known as Enersis Chile S.A. and changed its name to Enel Chile S.A. in October 2016.Enel Chile S.A. was incorporated in 2016 and is headquartered in Santiago, Chile. Enel Chile S.A. operates as a subsidiary of Enel S.p.A"
ENLV,Enlivex Therapeutics Ltd.,NASDAQ,"Enlivex Therapeutics Ltd., together with its subsidiaries, operates as a clinical-stage macrophage reprogramming immunotherapy company in Israel.Its product pipeline is the Allocetra, which is in phase II clinical trial for the treatment of organ dysfunction caused by sepsis.The company also develops Allocetra for the treatment of moderate knee osteoarthritis and end-stage knee osteoarthritis which is in phase I/II clinical trial.Enlivex Therapeutics Ltd. is headquartered in Ness Ziona, Israel."
